id,status,date,time
590,0,2021-07-22,09:51:20
591,1,2021-07-22,09:51:27
592,0,2021-07-22,09:51:31
593,1,2021-07-22,09:51:34
594,0,2021-07-22,09:51:38
595,1,2021-07-22,09:51:42
596,0,2021-07-22,09:51:45
597,1,2021-07-22,09:51:49
598,0,2021-07-22,09:51:53
599,1,2021-07-22,09:51:56
600,0,2021-07-22,09:52:36
601,1,2021-07-22,09:52:41
602,0,2021-07-22,09:52:45
603,1,2021-07-22,09:52:48
604,0,2021-07-22,09:53:09
605,1,2021-07-22,09:53:12
606,0,2021-07-22,09:53:22
607,1,2021-07-22,09:53:27
608,0,2021-07-22,09:53:40
609,1,2021-07-22,09:53:43
610,0,2021-07-22,09:54:08
611,1,2021-07-22,09:54:11
612,0,2021-07-22,09:54:37
613,1,2021-07-22,09:54:40
614,0,2021-07-22,09:54:52
615,1,2021-07-22,09:54:57
616,0,2021-07-22,09:55:02
617,1,2021-07-22,09:55:05
618,0,2021-07-22,09:55:09
619,1,2021-07-22,09:55:12
620,0,2021-07-22,09:55:21
621,1,2021-07-22,09:55:24
622,0,2021-07-22,09:56:03
623,1,2021-07-22,09:56:07
624,0,2021-07-22,09:56:21
625,1,2021-07-22,09:56:25
626,0,2021-07-22,09:57:10
627,1,2021-07-22,09:57:15
628,0,2021-07-22,09:57:31
629,1,2021-07-22,09:57:34
630,0,2021-07-22,09:57:38
631,1,2021-07-22,09:57:42
632,0,2021-07-22,09:58:08
633,1,2021-07-22,09:58:10
634,0,2021-07-22,09:58:13
635,1,2021-07-22,09:58:17
636,0,2021-07-22,09:58:28
637,1,2021-07-22,09:58:31
638,0,2021-07-22,09:58:42
639,1,2021-07-22,09:58:46
640,0,2021-07-22,09:59:01
641,1,2021-07-22,09:59:05
642,0,2021-07-22,09:59:09
643,1,2021-07-22,09:59:13
644,0,2021-07-22,09:59:19
645,1,2021-07-22,09:59:24
646,0,2021-07-22,09:59:55
647,1,2021-07-22,10:00:01
648,0,2021-07-22,10:00:18
649,1,2021-07-22,10:00:22
650,0,2021-07-22,10:00:38
651,1,2021-07-22,10:00:42
652,0,2021-07-22,10:01:04
653,1,2021-07-22,10:01:08
654,0,2021-07-22,10:01:12
655,1,2021-07-22,10:01:15
656,0,2021-07-22,10:02:04
657,1,2021-07-22,10:02:07
658,0,2021-07-22,10:02:09
659,1,2021-07-22,10:02:12
660,0,2021-07-22,10:02:16
661,1,2021-07-22,10:02:19
662,0,2021-07-22,10:02:42
663,1,2021-07-22,10:02:46
664,0,2021-07-22,10:02:48
665,1,2021-07-22,10:02:52
666,0,2021-07-22,10:03:35
667,1,2021-07-22,10:03:38
668,0,2021-07-22,10:04:29
669,1,2021-07-22,10:04:32
670,0,2021-07-22,10:05:17
671,1,2021-07-22,10:05:20
672,0,2021-07-22,10:05:27
673,1,2021-07-22,10:05:31
674,0,2021-07-22,10:05:33
675,1,2021-07-22,10:05:36
676,0,2021-07-22,10:06:03
677,1,2021-07-22,10:06:06
678,0,2021-07-22,10:07:14
679,1,2021-07-22,10:07:17
680,0,2021-07-22,10:07:23
681,1,2021-07-22,10:07:26
682,0,2021-07-22,10:07:39
683,1,2021-07-22,10:07:44
684,0,2021-07-22,10:07:54
685,1,2021-07-22,10:07:57
686,0,2021-07-22,10:08:35
687,1,2021-07-22,10:08:39
688,0,2021-07-22,10:09:11
689,1,2021-07-22,10:09:13
690,0,2021-07-22,10:09:37
691,1,2021-07-22,10:09:40
692,0,2021-07-22,10:09:53
693,1,2021-07-22,10:09:58
694,0,2021-07-22,10:10:03
695,1,2021-07-22,10:10:07
696,0,2021-07-22,10:10:47
697,1,2021-07-22,10:10:51
698,0,2021-07-22,10:11:03
699,1,2021-07-22,10:11:07
700,0,2021-07-22,10:11:19
701,1,2021-07-22,10:11:23
702,0,2021-07-22,10:11:27
703,1,2021-07-22,10:11:31
704,0,2021-07-22,10:11:42
705,1,2021-07-22,10:11:45
706,0,2021-07-22,10:11:52
707,1,2021-07-22,10:12:00
708,0,2021-07-22,10:12:03
709,1,2021-07-22,10:12:07
710,0,2021-07-22,10:12:52
711,1,2021-07-22,10:12:55
712,0,2021-07-22,10:13:07
713,1,2021-07-22,10:13:11
714,0,2021-07-22,10:13:25
715,1,2021-07-22,10:13:30
716,0,2021-07-22,10:13:38
717,1,2021-07-22,10:13:41
718,0,2021-07-22,10:14:11
719,1,2021-07-22,10:14:14
720,0,2021-07-22,10:14:23
721,1,2021-07-22,10:14:26
722,0,2021-07-22,10:15:19
723,1,2021-07-22,10:15:24
724,0,2021-07-22,10:15:55
725,1,2021-07-22,10:15:59
726,0,2021-07-22,10:16:20
727,1,2021-07-22,10:16:24
728,0,2021-07-22,10:16:34
729,1,2021-07-22,10:16:36
730,0,2021-07-22,10:17:02
731,1,2021-07-22,10:17:06
732,0,2021-07-22,10:17:28
733,1,2021-07-22,10:17:30
734,0,2021-07-22,10:17:34
735,1,2021-07-22,10:17:36
736,0,2021-07-22,10:17:40
737,1,2021-07-22,10:17:44
738,0,2021-07-22,10:18:56
739,1,2021-07-22,10:18:59
740,0,2021-07-22,10:19:26
741,1,2021-07-22,10:19:30
742,0,2021-07-22,10:19:56
743,1,2021-07-22,10:19:59
744,0,2021-07-22,10:20:16
745,1,2021-07-22,10:20:18
746,0,2021-07-22,10:20:40
747,1,2021-07-22,10:20:43
748,0,2021-07-22,10:21:24
749,1,2021-07-22,10:21:27
750,0,2021-07-22,10:21:31
751,1,2021-07-22,10:21:34
752,0,2021-07-22,10:21:38
753,1,2021-07-22,10:21:41
754,0,2021-07-22,10:21:52
755,1,2021-07-22,10:21:55
756,0,2021-07-22,10:22:18
757,1,2021-07-22,10:22:21
758,0,2021-07-22,10:22:34
759,1,2021-07-22,10:22:38
760,0,2021-07-22,10:22:43
761,1,2021-07-22,10:22:47
762,0,2021-07-22,10:23:04
763,1,2021-07-22,10:23:07
764,0,2021-07-22,10:23:17
765,1,2021-07-22,10:23:20
766,0,2021-07-22,10:23:42
767,1,2021-07-22,10:23:44
768,0,2021-07-22,10:24:13
769,1,2021-07-22,10:24:16
770,0,2021-07-22,10:24:39
771,1,2021-07-22,10:24:42
772,0,2021-07-22,10:24:58
773,1,2021-07-22,10:25:02
774,0,2021-07-22,10:25:31
775,1,2021-07-22,10:25:34
776,0,2021-07-22,10:26:06
777,1,2021-07-22,10:26:10
778,0,2021-07-22,10:26:16
779,1,2021-07-22,10:26:20
780,0,2021-07-22,10:26:29
781,1,2021-07-22,10:26:33
782,0,2021-07-22,10:26:38
783,1,2021-07-22,10:26:42
784,0,2021-07-22,10:27:11
785,1,2021-07-22,10:27:15
786,0,2021-07-22,10:27:40
787,1,2021-07-22,10:27:45
788,0,2021-07-22,10:28:14
789,1,2021-07-22,10:28:18
790,0,2021-07-22,10:28:30
791,1,2021-07-22,10:28:33
792,0,2021-07-22,10:28:37
793,1,2021-07-22,10:28:42
794,0,2021-07-22,10:29:08
795,1,2021-07-22,10:29:14
796,0,2021-07-22,10:29:23
797,1,2021-07-22,10:29:26
798,0,2021-07-22,10:29:54
799,1,2021-07-22,10:29:58
800,0,2021-07-22,10:30:13
801,1,2021-07-22,10:30:16
802,0,2021-07-22,10:30:20
803,1,2021-07-22,10:30:24
804,0,2021-07-22,10:30:38
805,1,2021-07-22,10:30:45
806,0,2021-07-22,10:31:11
807,1,2021-07-22,10:31:15
808,0,2021-07-22,10:31:17
809,1,2021-07-22,10:31:22
810,0,2021-07-22,10:31:33
811,1,2021-07-22,10:31:36
812,0,2021-07-22,10:31:39
813,1,2021-07-22,10:31:41
814,0,2021-07-22,10:31:45
815,1,2021-07-22,10:31:49
816,0,2021-07-22,10:31:53
817,1,2021-07-22,10:31:57
818,0,2021-07-22,10:32:47
819,1,2021-07-22,10:32:50
820,0,2021-07-22,10:32:55
821,1,2021-07-22,10:33:00
